season,episode,title,rating,votes
1,1,The Name of the Game,8.7,39798
1,2,Cherry,8.5,31866
1,3,Get Some,8.3,30078
1,4,The Female of the Species,8.7,30429
1,5,Good for the Soul,8.3,29005
1,6,The Innocents,8.1,27914
1,7,The Self-Preservation Society,8.7,28461
1,8,You Found Me,9.1,33598
2,1,The Big Ride,8.1,26912
2,2,Proper Preparation and Planning,7.6,25381
2,3,Over the Hill with the Swords of a Thousand Men,9,28999
2,4,Nothing Like It in the World,8,24932
2,5,We Gotta Go Now,8.3,25042
2,6,The Bloody Doors Off,8.9,27063
2,7,"Butcher, Baker, Candlestick Maker",9,27851
2,8,What I Know,9.4,37159
3,1,Payback,8.3,27852
3,2,The Only Man in the Sky,8.6,26919
3,3,Barbary Coast,8.2,25841
3,4,Glorious Five Year Plan,8.9,28683
3,5,The Last Time to Look on This World of Lies,8.2,25786
3,6,Herogasm,9.6,59443
3,7,Here Comes a Candle to Light You to Bed,8.9,29465
3,8,The Instant White-Hot Wild,8.3,33721
4,1,Department of Dirty Tricks,7.3,32505
4,2,Life Among the Septics,7,29390
4,3,We'll Keep the Red Flag Flying Here,7.4,28344
4,4,Wisdom of the Ages,8.8,38128
4,5,"Beware the Jabberwock, My Son",8,28871
4,6,Dirty Business,7.4,28978
4,7,The Insider,8.2,26649
4,8,Season Four Finale,9,42202
5,1,Fifteen Inches of Sheer Dynamite,8.7,49432
5,2,Teenage Kix,8.2,41535
5,3,Every One of You Sons of Bitches,8,39356
5,4,King of Hell,7.1,39452
5,5,One-Shots,7.2,42413
5,6,Though the Heavens Fall,8,43479
5,7,"The Frenchman, the Female, and the Man Called Mother's Milk",5.8,58938
5,8,Blood and Bone,5.6,131315
