season,episode,title,rating,votes,episode_year
1,1,Pilot,7.9,23181,2013
1,2,Lawnmower Dog,8.6,22674,2013
1,3,Anatomy Park,8.2,20835,2013
1,4,M. Night Shaym-Aliens!,8.6,20811,2014
1,5,Meeseeks and Destroy,9,22970,2014
1,6,Rick Potion #9,9.1,22836,2014
1,7,Raising Gazorpazorp,7.8,19039,2014
1,8,Rixty Minutes,8.6,20736,2014
1,9,Something Ricked This Way Comes,8.3,18832,2014
1,10,Close Rick-Counters of the Rick Kind,9.3,23735,2014
1,11,Ricksy Business,8.4,18549,2014
2,1,A Rickle in Time,8.8,20520,2015
2,2,Mortynight Run,8.8,19348,2015
2,3,Auto Erotic Assimilation,8.5,18758,2015
2,4,Total Rickall,9.5,26718,2015
2,5,Get Schwifty,8.2,18666,2015
2,6,The Ricks Must Be Crazy,9.3,22349,2015
2,7,Big Trouble in Little Sanchez,8.4,17641,2015
2,8,Interdimensional Cable 2: Tempting Fate,7.6,18116,2015
2,9,Look Who's Purging Now,8.5,18150,2015
2,10,The Wedding Squanchers,9.3,21999,2015
3,1,The Rickshank Rickdemption,9.6,31583,2017
3,2,Rickmancing the Stone,8.1,18455,2017
3,3,Pickle Rick,9.4,27988,2017
3,4,Vindicators 3: The Return of Worldender,8.1,18310,2017
3,5,The Whirly Dirly Conspiracy,8.4,17583,2017
3,6,Rest and Ricklaxation,8.8,19142,2017
3,7,The Ricklantis Mixup,9.7,45203,2017
3,8,Morty's Mind Blowers,8.9,18858,2017
3,9,The ABCs of Beth,7.8,16294,2017
3,10,The Rickchurian Mortydate,8.2,16473,2017
4,1,Edge of Tomorty: Rick Die Rickpeat,8.9,20218,2019
4,2,The Old Man and the Seat,8.3,18123,2019
4,3,One Crew over the Crewcoo's Morty,8.2,17446,2019
4,4,Claw and Hoarder: Special Ricktim's Morty,7.3,17679,2019
4,5,Rattlestar Ricklactica,8.8,17302,2019
4,6,Never Ricking Morty,8,16306,2020
4,7,Promortyus,8,14157,2020
4,8,The Vat of Acid Episode,9.5,22081,2020
4,9,Childrick of Mort,7.7,13856,2020
4,10,Star Mort Rickturn of the Jerri,9,16002,2020
5,1,Mort Dinner Rick Andre,9,19919,2021
5,2,Mortyplicity,8.7,17671,2021
5,3,A Rickconvenient Mort,7.8,16185,2021
5,4,Rickdependence Spray,5.7,18231,2021
5,5,Amortycan Grickfitti,7,13505,2021
5,6,Rick & Morty's Thanksploitation Spectacular,7.1,13740,2021
5,7,Gotron Jerrysis Rickvangelion,6.3,13273,2021
5,8,Rickternal Friendshine of the Spotless Mort,8.2,13591,2021
5,9,Forgetting Sarick Mortshall,8.2,12361,2021
5,10,Rickmurai Jack,9.3,18453,2021
6,1,Solaricks,8.6,14038,2022
6,2,Rick: A Mort Well Lived,7.8,11593,2022
6,3,Bethic Twinstinct,7.7,12128,2022
6,4,Night Family,8.5,12581,2022
6,5,Final DeSmithation,8.2,11170,2022
6,6,Juricksic Mort,7.8,10488,2022
6,7,Full Meta Jackrick,7.8,10386,2022
6,8,Analyze Piss,8.4,10439,2022
6,9,A Rick in King Mortur's Mort,7.4,9328,2022
6,10,Ricktional Mortpoon's Rickmas Mortcation,8,9304,2022
7,1,How Poopy Got His Poop Back,6.2,12888,2023
7,2,The Jerrick Trap,7.3,11001,2023
7,3,Air Force Wong,6.8,10463,2023
7,4,That's Amorte,8.4,13082,2023
7,5,Unmortricken,9.2,16364,2023
7,6,Rickfending Your Mort,7.8,10054,2023
7,7,Wet Kuat Amortican Summer,6.4,9631,2023
7,8,Rise of the Numbericons: The Movie,4.4,12839,2023
7,9,Mort: Ragnarick,7.9,10045,2023
7,10,Fear No Mort,9.4,16278,2023
8,1,Summer of All Fears,8.3,10879,2025
8,2,Valkyrick,7.1,8430,2025
8,3,"The Rick, The Mort & The Ugly",7.9,9029,2025
8,4,The Last Temptation of Jerry,6.3,8212,2025
8,5,Cryo Mort a Rickver,7.1,7268,2025
8,6,The Curicksous Case of Bethjamin Button,7.4,7346,2025
8,7,Ricker Than Fiction,6.7,6923,2025
8,8,Nomortland,8,7508,2025
8,9,Morty Daddy,6.6,6100,2025
8,10,Hot Rick,8.9,9010,2025
9,1,There's Something About Morty,8.8,11026,2026
9,2,"Ricks Days, Seven Nights",8.8,9440,2026
9,3,Rick Fu Hustle,7.1,7656,2026
9,4,A Ricker Runs Through It,7.5,6524,2026
9,5,Jer Bud,7.6,6071,2026
9,6,Erickerhead,8,6162,2026
9,7,Mortgully: The Last Rickforest,9.2,8963,2026
9,8,Rickuiem Mort a Dream,8.3,5790,2026
9,9,Salute Your Morts,7.5,5198,2026
9,10,Field of Dreams,9.3,7127,2026
