season,episode,title,rating,votes
1,1,Pilot,6.9,4657
1,2,Canvassing,7,3979
1,3,The Reporter,7.1,3733
1,4,Boys' Club,7.2,3621
1,5,The Banquet,7.1,3494
1,6,Rock Show,7.6,3525
2,1,Pawnee Zoo,7.8,3662
2,2,The Stakeout,8,3488
2,3,Beauty Pageant,7.6,3353
2,4,Practice Date,8.2,3427
2,5,Sister City,7.6,3612
2,6,Kaboom,7.5,3165
2,7,Greg Pikitis,8.2,3442
2,8,Ron and Tammy,8.3,3453
2,9,The Camel,7.7,3125
2,10,Hunting Trip,8.6,3734
2,11,Tom's Divorce,7.7,3040
2,12,Christmas Scandal,7.9,3079
2,13,The Set Up,7.9,3083
2,14,Leslie's House,7.8,3002
2,15,Sweetums,7.7,2954
2,16,Galentine's Day,7.5,2965
2,17,Woman of the Year,7.9,2943
2,18,The Possum,7.8,2949
2,19,Park Safety,8,3045
2,20,Summer Catalog,7.7,2885
2,21,94 Meetings,8.4,3137
2,22,Telethon,8.2,3011
2,23,The Master Plan,8.4,3080
2,24,Freddy Spaghetti,8.5,3120
3,1,Go Big or Go Home,8.1,2983
3,2,Flu Season,8.9,3768
3,3,Time Capsule,8,2936
3,4,Ron & Tammy 2,8.5,3189
3,5,Media Blitz,7.9,2882
3,6,Indianapolis,8,2861
3,7,Harvest Festival,8.7,3264
3,8,Camping,7.9,2868
3,9,Andy and April's Fancy Party,8.9,3640
3,10,Soulmates,8.4,3010
3,11,Jerry's Painting,8.6,3039
3,12,Eagleton,8.1,2881
3,13,The Fight,8.8,3652
3,14,Road Trip,8.4,3048
3,15,The Bubble,8.1,2772
3,16,Li'l Sebastian,8.8,3270
4,1,I'm Leslie Knope,8,2795
4,2,Ron and Tammys,8.6,3051
4,3,Born and Raised,8,2728
4,4,Pawnee Rangers,8.2,2979
4,5,Meet 'N' Greet,7.7,2675
4,6,End of the World,8.4,3035
4,7,The Treaty,7.8,2722
4,8,Smallest Park,7.9,2689
4,9,The Trial of Leslie Knope,8.4,2800
4,10,Citizen Knope,8.4,2728
4,11,The Comeback Kid,8.5,3065
4,12,Campaign Ad,8.3,2668
4,13,Bowling for Votes,8.5,2782
4,14,Operation Ann,8.1,2623
4,15,Dave Returns,7.8,2543
4,16,Sweet Sixteen,7.6,2507
4,17,Campaign Shake-Up,7.9,2493
4,18,Lucky,7.8,2507
4,19,Live Ammo,7.8,2475
4,20,The Debate,8.7,2908
4,21,Bus Tour,8.2,2573
4,22,"Win, Lose or Draw",9,3100
5,1,Ms. Knope Goes to Washington,7.8,2563
5,2,Soda Tax,7.8,2517
5,3,How a Bill Becomes a Law,7.9,2492
5,4,Sex Education,8,2530
5,5,Halloween Surprise,8.6,2802
5,6,Ben's Parents,7.7,2458
5,7,Leslie vs. April,7.7,2435
5,8,Pawnee Commons,7.7,2407
5,9,Ron and Diane,8.9,3108
5,10,Two Parties,8.8,3008
5,11,Women in Garbage,8,2466
5,12,Ann's Decision,7.6,2382
5,13,Emergency Response,8.5,2552
5,14,Leslie and Ben,9.2,3439
5,15,Correspondents' Lunch,7.7,2296
5,16,Bailout,8,2380
5,17,Partridge,7.5,2277
5,18,Animal Control,8.2,2374
5,19,Article Two,7.9,2311
5,20,Jerry's Retirement,8,2316
5,21,Swing Vote,7.5,2228
5,22,Are You Better Off?,8.2,2359
6,1,London: Part 1,8.5,2656
6,2,London: Part 2,8.6,2498
6,3,The Pawnee-Eagleton Tip Off Classic,7.6,2301
6,4,Doppelgängers,7.9,2393
6,5,Gin It Up!,7.7,2242
6,6,Filibuster,8,2308
6,7,Recall Vote,7.5,2204
6,8,Fluoride,7.6,2251
6,9,The Cones of Dunshire,8.1,2330
6,10,Second Chunce,7.5,2180
6,11,New Beginnings,7.6,2150
6,12,Farmers Market,7.6,2195
6,13,Ann and Chris,8.8,2848
6,14,Anniversaries,7.9,2193
6,15,The Wall,7.6,2101
6,16,New Slogan,7.4,2092
6,17,Galentine's Day,7.5,2089
6,18,Prom,7.6,2097
6,19,Flu Season 2,8.3,2315
6,20,"One in 8,000",8.1,2126
6,21,Moving Up: Part 1,8.8,2664
6,22,Moving Up: Part 2,9.2,3498
7,1,2017,7.5,2501
7,2,Ron & Jammy,8.1,2412
7,3,William Henry Harrison,7.3,2234
7,4,Leslie and Ron,9.5,4957
7,5,Gryzzlbox,8.1,2216
7,6,Save JJ's,7.9,2169
7,7,Donna and Joe,8.3,2261
7,8,Ms. Ludgate-Dwyer Goes to Washington,8,2223
7,9,Pie-Mary,8.2,2313
7,10,The Johnny Karate Super Awesome Musical Explosion Show,8.3,3083
7,11,Two Funerals,8.4,2358
7,12,One Last Ride,9.5,5800
