season,episode,title,rating,votes
1,1,The Heirs of the Dragon,8.7,84111
1,2,The Rogue Prince,8.3,67391
1,3,Second of His Name,8.7,68723
1,4,King of the Narrow Sea,8.4,58119
1,5,We Light the Way,8.8,58830
1,6,The Princess and the Queen,8,52225
1,7,Driftmark,9.1,58528
1,8,The Lord of the Tides,9.3,65067
1,9,The Green Council,8.7,50775
1,10,The Black Queen,9.3,52104
2,1,A Son for a Son,8.2,44381
2,2,Rhaenyra the Cruel,8.2,38813
2,3,The Burning Mill,7.6,36963
2,4,The Red Dragon and the Gold,9.4,65257
2,5,Regent,7.3,35519
2,6,Smallfolk,6.3,56310
2,7,The Red Sowing,8.8,42324
2,8,The Queen Who Ever Was,6.5,48542
