season,episode,title,rating,votes,episode_year
1,1,Pilot,7.8,12101,2020
1,2,Biscuits,8.1,10735,2020
1,3,Trent Crimm: The Independent,8.5,10766,2020
1,4,For the Children,8.2,10319,2020
1,5,Tan Lines,8.9,10837,2020
1,6,Two Aces,8.5,9866,2020
1,7,Make Rebecca Great Again,9,11292,2020
1,8,The Diamond Dogs,8.7,9995,2020
1,9,All Apologies,8.6,9291,2020
1,10,The Hope That Kills You,9.1,11188,2020
2,1,Goodbye Earl,7.6,9467,2021
2,2,Lavender,8,8718,2021
2,3,Do the Right-est Thing,8.4,9481,2021
2,4,Carol of the Bells,8.6,11495,2021
2,5,Rainbow,8.9,10418,2021
2,6,The Signal,8.6,8638,2021
2,7,Headspace,7.7,8218,2021
2,8,Man City,9,10984,2021
2,9,Beard After Hours,6.9,18228,2021
2,10,No Weddings and a Funeral,8.5,10131,2021
2,11,Midnight Train to Royston,8.2,8010,2021
2,12,Inverting the Pyramid of Success,8.8,9200,2021
3,1,Smells Like Mean Spirit,7.7,8721,2023
3,2,(I Don't Want to Go to) Chelsea,8.2,8180,2023
3,3,4-5-1,7.8,8104,2023
3,4,Big Week,8.1,7622,2023
3,5,Signs,7.2,8189,2023
3,6,Sunflowers,8.9,14470,2023
3,7,The Strings That Bind Us,8.3,9466,2023
3,8,We'll Never Have Paris,6.7,9242,2023
3,9,La Locker Room Aux Folles,8.5,9325,2023
3,10,International Break,8.5,9114,2023
3,11,Mom City,9.3,13063,2023
3,12,"So Long, Farewell",9.5,16109,2023
4,1,Home,7.6,5220,2026
4,2,Curiouser and Curiouser!,8.1,3709,2026
4,3,Richmond's Got Talent,7.7,2878,2026
4,4,Greyhounds' Day Off,7.7,2528,2026
4,5,Riches of Embarrassment,7.5,1456,2026
