season,episode,title,rating,votes
1,1,eps1.0_hellofriend.mov,9.2,26163
1,2,eps1.1_ones-and-zer0es.mpeg,8.4,17142
1,3,eps1.2_d3bug.mkv,8,15491
1,4,eps1.3_da3m0ns.mp4,7.9,17325
1,5,eps1.4_3xpl0its.wmv,8.4,13979
1,6,eps1.5_br4ve-trave1er.asf,9.1,16736
1,7,eps1.6_v1ew-s0urce.flv,8.4,13286
1,8,eps1.7_wh1ter0se.m4v,9.4,19489
1,9,eps1.8_m1rr0r1ng.qt,9.2,16601
1,10,eps1.9_zer0-day.avi,8.7,14318
2,1,eps2.0_unm4sk-pt1.tc,8.1,11448
2,2,eps2.0_unm4sk-pt2.tc,8.1,10750
2,3,eps2.1_k3rnel-pan1c.ksd,8.3,10510
2,4,eps2.2_init_1.asec,8.2,9963
2,5,eps2.3_logic-b0mb.hc,8.8,10215
2,6,eps2.4_m4ster-s1ave.aes,9,11827
2,7,eps2.5_h4ndshake.sme,9.2,12322
2,8,eps2.6_succ3ss0r.p12,8.5,9271
2,9,eps2.7_init_5.fve,8.5,9010
2,10,eps2.8_h1dden-pr0cess.axx,9.2,11216
2,11,eps2.9_pyth0n-pt1.p7z,8.4,9156
2,12,eps2.9_pyth0n-pt2.p7z,8.8,10010
3,1,eps3.0_power-saver-mode.h,8.7,10142
3,2,eps3.1_undo.gz,9.1,9903
3,3,eps3.2_legacy.so,8.7,9328
3,4,eps3.3_m3tadata.par2,8.2,8622
3,5,eps3.4_runtime-err0r.r00,9.7,19408
3,6,eps3.5_kill-pr0cess.inc,9.7,17359
3,7,eps3.6_fredrick+tanya.chk,9,9979
3,8,eps3.7_dont-delete-me.ko,9.2,12367
3,9,eps3.8_stage3.torrent,8.6,8450
3,10,shutdown -r,9.6,14221
4,1,401 Unauthorized,9.3,13160
4,2,402 Payment Required,8.7,10662
4,3,403 Forbidden,8.6,10731
4,4,404 Not Found,8.8,12723
4,5,405 Method Not Allowed,9.7,20999
4,6,406 Not Acceptable,9.1,11697
4,7,407 Proxy Authentication Required,9.9,47575
4,8,408 Request Timeout,9.3,12675
4,9,409 Conflict,9.7,20479
4,10,410 Gone,8.1,12273
4,11,eXit,9.4,14889
4,12,whoami,9.5,16138
4,13,"Hello, Elliot",9.8,31460
